Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time
_1462211675523_217796,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167015,311,0,8,1,1,2850230,1,1,570046,570046,2918635520,1,0,67,0,0,0,449,14470,318984192,1345441792,483917824,0,0,,,
_1462211675523_206436,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,16925,1,1,3385,3385,17331200,1,0,67,0,0,0,33,2700,305479680,1359974400,508035072,0,0,,,
_1462211675523_244353,,90585,16,hadoop02,hive2,aggregation/aggregate,createArchiveViews,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167075,311,0,8,1,1,19615,1,1,3923,3923,20085760,1,0,67,0,0,0,33,3130,316002304,1364414464,508035072,0,0,MAPREDUCE,1463749471175,1463749483505
_1462211675523_225381,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167012,311,0,8,1,1,419270,1,1,83854,83854,429332480,1,0,67,0,0,0,292,9160,309645312,1345609728,508035072,0,0,,,
_1462211675523_244401,,3409280,605,hadoop05,hive2,aggregation/aggregate,pivotSends,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167014,311,0,8,1,1,2928530,1,1,585706,585706,2998814720,1,0,67,0,0,0,416,14860,320995328,1345695744,493355008,0,1214,MAPREDUCE,1463749927765,1463750526748
_1462211675523_206376,,,,,,,,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167163,311,0,8,1,1,260555,1,1,52111,52111,266808320,1,0,67,0,0,0,78,6570,319582208,1365811200,511705088,0,0,,,
_1462211675523_212931,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,423195,1,1,84639,84639,433351680,1,0,67,0,0,0,174,8020,313159680,1364807680,506986496,0,0,,,
_1462211675523_231418,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167014,311,0,8,1,1,4149880,1,1,829976,829976,4249477120,1,0,67,0,0,0,177,12760,327516160,1358176256,487063552,0,0,,,
_1462211675523_213369,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,62415,1,1,12483,12483,63912960,1,0,67,0,0,0,135,5000,298438656,1345142784,508035072,0,0,,,
_1462211675523_218437,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,335745,1,1,67149,67149,343802880,1,0,67,0,0,0,242,8510,306110464,1357975552,508035072,0,0,,,
