Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time,Launched reduce tasks,Rack-local map tasks,Total time spent by all reduces in occupied slots ms,Total time spent by all reduce tasks ms,Total vcore-seconds taken by all reduce tasks,Total megabyte-seconds taken by all reduce tasks,Map output bytes,Map output materialized bytes,Combine input records,Combine output records,Reduce input groups,Reduce shuffle bytes,Reduce input records,Reduce output records,Shuffled Maps,BAD_ID,CONNECTION,IO_ERROR,WRONG_LENGTH,WRONG_MAP,WRONG_REDUCE,Killed reduce tasks,Data-local map tasks,CREATED_FILES,DESERIALIZE_ERRORS,RECORDS_IN,RECORDS_OUT_0,RECORDS_OUT_INTERMEDIATE,SKEWJOINFOLLOWUPJOBS,RECORDS_OUT_1_default.a_activity,RECORDS_OUT_1_default.v_activity,RECORDS_OUT_1_default.r_activity_archive_parquet,RECORDS_OUT_1_default.r_send_archive_parquet,Failed reduce tasks
_1462211675523_234440,_1462211675523_234439,,,,,,,false,62,277,SUCCEEDED,56,7353576476,12244384542,0,0,0,4601085131,20455776139,3912,0,554,62,,28332090,,,5666418,5666418,29012060160,243941398,243668062,87429,568639035,0,17174,68465,9190760,349540278272,2998616662016,738998091776,0,0,,,,278,10,41952740,4195274,4195274,42959605760,21797931275,5192683682,0,0,243416672,5192683682,243668062,0,17174,0,0,0,0,0,0,1,52,277,0,243941398,243416672,243668062,,,,,,
_1462211675523_207583,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167013,311,0,8,1,1,586560,1,1,117312,117312,600637440,1,0,67,0,0,0,85,7680,325705728,1365917696,510656512,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_235225,_1462211675523_235223,,,,,,,false,1,1,SUCCEEDED,54,25188347,50888623,0,0,0,53140322,154131612,806,0,2,1,,434705,,,86941,86941,445137920,3739292,1187164,19668,2374328,0,1,825,114190,3625521152,14865432576,6171394048,0,0,,,,1,1,448030,44803,44803,458782720,196337117,25188343,0,0,1125596,25188343,1187164,0,1,0,0,0,0,0,0,,,1,0,3739292,1125596,1187164,,,,,,
_1462211675523_236649,_1462211675523_236482,,,,,,,false,216,941,SUCCEEDED,57,17499939483,40067478401,0,0,0,63150612305,90336,6686,0,1882,216,,53328100,,,10665620,10665620,54607974400,751826717,751826717,168619,1503653434,0,203256,178044,19406040,1046528184320,10213694984192,2655429591040,0,0,,,,942,24,160804780,16080478,16080478,164664094720,64984671750,22273969577,0,0,751826717,22273969577,751826717,0,203256,0,0,0,0,0,0,1,192,941,0,751826717,0,751826717,0,,,,,
_1462211675523_222996,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,48255,1,1,9651,9651,49413120,1,0,67,0,0,0,152,7220,312295424,1359175680,510656512,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_210792,_1462211675523_210717,,,,,,,false,11,10,SUCCEEDED,56,1128954425,2263088373,0,0,0,2754800444,1202341021,872,0,31,11,,1622920,,,324584,324584,1661870080,15520884,15520884,33595,31041768,0,110,7736,736100,41348968448,153769369600,62021697536,0,0,,,,11,1,5584960,558496,558496,5718999040,2620056236,1128946285,0,0,10,1128946285,15520884,0,110,0,0,0,0,0,0,1,10,10,0,15520884,,15520884,,,,,15520884,
_1462211675523_230425,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167015,311,0,8,1,1,414620,1,1,82924,82924,424570880,1,0,67,0,0,0,139,8280,321855488,1369157632,509083648,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_205460,_1462211675523_205429,,,,,,,false,1,1,SUCCEEDED,54,3050968,6620887,0,0,0,21742439,1782542,11,0,4,1,,37405,,,7481,7481,38302720,167326,167326,305,334652,0,1,101,16800,1864110080,14871949312,4116709376,0,0,,,,1,1,108480,10848,10848,111083520,20339712,3050964,0,0,1,3050964,167326,0,1,0,0,0,0,0,0,,,1,0,167326,,167326,,,167326,,,
_1462211675523_205477,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167016,311,0,8,1,1,948460,1,1,189692,189692,971223040,1,0,67,0,0,0,93,7320,318205952,1361793024,494927872,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_213253,_1462211675523_213206,,,,,,,false,2,10,SUCCEEDED,55,126493285,255948834,0,0,0,329178702,134591431,806,0,31,2,,208840,,,41768,41768,213852160,1915285,1915285,30182,3830570,0,20,1941,184330,11870629888,107055296512,28465692672,0,0,,,,11,2,1606780,160678,160678,1645342720,312492760,126492807,0,0,10,126492807,1915285,0,20,0,0,0,0,0,0,1,,10,0,1915285,,1915285,,,,,1915285,
